freq,p,o,rank
2,http://dbpedia.org/ontology/country,http://dbpedia.org/resource/Italy,1
2,http://dbpedia.org/ontology/region,http://dbpedia.org/resource/Emilia-Romagna,1
1,http://dbpedia.org/ontology/province,http://dbpedia.org/resource/Province_of_Forlì-Cesena,3
1,http://dbpedia.org/ontology/province,http://dbpedia.org/resource/Province_of_Piacenza,3
1,http://dbpedia.org/ontology/frazioni,http://dbpedia.org/resource/Vigolo_Marchese,3
1,http://dbpedia.org/ontology/saint,http://dbpedia.org/resource/Catherine_of_Alexandria,3
